sentence,cleaned_sentence
王都グランコリヌ攻略前の状態に戻りますがよろしいですか？ （編成、装備などは最新の状態が維持されます）。,王都グランコリヌ攻略前の状態に戻りますがよろしいですか編成、装備などは最新の状態が維持されます。
エンディング後の状態に戻りますがよろしいですか？ （編成、装備などは最新の状態が維持されます）。,エンディング後の状態に戻りますがよろしいですか編成、装備などは最新の状態が維持されます。
な、なんだ…こいつだけ 気性が荒いぞ…。,な、なんだこいつだけ気性が荒いぞ。
ヘタに手を近づけたら 噛みつかれるかもしれない…。,ヘタに手を近づけたら噛みつかれるかもしれない。
メェッ！。,メェッ。
すごく食いついている… 今ならいくつか採れそうだ。,すごく食いついている今ならいくつか採れそうだ。
えええ…。,えええ。
メ゛エエェェッ！。,メエエェェッ。
ぐはぁあっ。,ぐはぁあっ。
ゴートクッキーを１つ奪われた。,ゴートクッキーを1つ奪われた。
全世界の魔法陣を攻略する。,全世界の魔法陣を攻略する。
全世界の魔法陣を攻略する。,全世界の魔法陣を攻略する。
ここは 雪国バストリアス。,ここは雪国バストリアス。
他国と同様ゼノイラの支配下ですが それ以上の情報はございません。,他国と同様ゼノイラの支配下ですがそれ以上の情報はございません。
ゆえに彼らが暗躍していれば その影響も未知数…。,ゆえに彼らが暗躍していればその影響も未知数。
まずは首都バスタリーツァの 様子を探りに行くのがよろしいかと。,まずは首都バスタリーツァの様子を探りに行くのがよろしいかと。
アルビオン… 帰ってきたのね。,アルビオン帰ってきたのね。
連れてきてくれてありがとう アレイン。,連れてきてくれてありがとうアレイン。
お父様のことが気がかりだったの… ビスファイン大聖堂を目指しましょう。,お父様のことが気がかりだったのビスファイン大聖堂を目指しましょう。
吹雪の里の入り口に到達する。,吹雪の里の入り口に到達する。
出陣予定地に進む。,出陣予定地に進む。
出陣予定地に進む。,出陣予定地に進む。
ベリーバリー周辺まで進む。,ベリーバリー周辺まで進む。
出陣予定地に進む。,出陣予定地に進む。
バウムラッテに向かう。,バウムラッテに向かう。
ラウルハル近郊まで進む。,ラウルハル近郊まで進む。
茨の森の入り口まで進む。,茨の森の入り口まで進む。
茨の森の内部まで進む。,茨の森の内部まで進む。
今のは夢か…。,今のは夢か。
俺は契約の儀式を終えたんだ 裏切るようなことはやめておこう。,俺は契約の儀式を終えたんだ裏切るようなことはやめておこう。
ドラケンガルド内部へ進む。,ドラケンガルド内部へ進む。
髪の色まで自在に変える イデアの手鏡というものなのですが…。,髪の色まで自在に変えるイデアの手鏡というものなのですが。
イデアの手鏡を勲章３０個で 交換して差し上げましょうか？。,イデアの手鏡を勲章30個で交換して差し上げましょうか。
イデアの手鏡を勲章３０個で 交換して差し上げましょうか？。,イデアの手鏡を勲章30個で交換して差し上げましょうか。
１．交換する ２．やめておく。,1交換する2やめておく。
勲章が足りていませんね… 残念ですが、お取引できません。,勲章が足りていませんね残念ですが、お取引できません。
また必要になりましたら どうぞお声がけください。,また必要になりましたらどうぞお声がけください。
ああ、ここもゼノイラの支配下にある 気をつけて先に進もう。,ああ、ここもゼノイラの支配下にある気をつけて先に進もう。
…おかしい 魔法陣の雰囲気が変わりました。,おかしい魔法陣の雰囲気が変わりました。
何か問題が起きたのか？。,何か問題が起きたのか。
私が怪我なく戻れたのは ただの偶然かもしれません…。,私が怪我なく戻れたのはただの偶然かもしれません。
おそらく幻影の兵士が相手でも 敗北すれば無事では済まないでしょう。,おそらく幻影の兵士が相手でも敗北すれば無事では済まないでしょう。
そうか…では気を引き締めて 挑戦することにしよう。,そうかでは気を引き締めて挑戦することにしよう。
フェブリス各地にこんなに 魔法陣があったんだな。,フェブリス各地にこんなに魔法陣があったんだな。
古代ゼノイラの支配がフェブリスの 全域に及んでいたことがわかります…。,古代ゼノイラの支配がフェブリスの全域に及んでいたことがわかります。
それでは起動しますね。,それでは起動しますね。
もうかなりの魔法陣を発見しました あともう少しですね。,もうかなりの魔法陣を発見しましたあともう少しですね。
